Klagenummer,AZ VG,Eingang,Land,Vertretung,Klagegrund,Zusatz,Datum VG,OVG Geschäftszeichen,Datum OVG,PKH Geschäftszeichen,Datum PKH,BVerwG Geschäftszeichen,Datum BVerwG
2022/2783,VG 31 K 0229/22 V,9/30/2022,Vietnam,Hanoi,FZ-E,LU,,,,,,,
2022/2782,VG 33 K 0329/22 V,9/30/2022,Iran,Teheran,FZ-E,,,,,,,,
2022/2780,VG 33 K 0335/22 V,9/30/2022,Türkei,OFFEN,EWT,EWTunse,,,,,,,
2022/2779,VG 32 K 0192/22 V,9/30/2022,Jordanien,Amman,BES,,,,,,,,
2022/2778,VG 23 K 0416/22 V,9/30/2022,Indien,New Delhi,BES,,,,,,,,
2022/2777,VG 32 K 0189/22 V,9/30/2022,Syrien,Beirut,FZ-F,§ 36 II,,,,,,,
2022/2774,VG 23 K 0415/22 V,9/30/2022,Indien,New Delhi,BES,,,,,,,,
2022/2773,VG 36 K 0374/22 V,9/30/2022,Somalia,Nairobi,FZ-K,,,,,,,,
2022/2772,VG 24 K 0238/22 V,9/30/2022,Äthiopien,Addis Abeba,FZ-F,§ 36 II,,,,,,,
2022/2771,VG 24 K 0239/22 V,9/30/2022,Afghanistan,New Delhi,FZ-E,LU,,,,,,,
2022/2767,VG 31 K 0228/22 V,9/30/2022,Libyen,Tunis,BES,,,,,,,,
2022/2758,VG 30 K 0532/22 V,9/30/2022,Irak,Erbil,BES,MED,,,,,,,
2022/2757,VG 08 K 0393/22 V,9/30/2022,Sudan,Khartum,FZ-E,SUB,,,,,,,
2022/2756,VG 33 K 0337/22 V,9/30/2022,Iran,Teheran,BES,,,,,,,,
2022/2769,VG 24 K 0242/22 V,9/29/2022,Indien,New Delhi,BES,,,,,,,,
2022/2768,VG 13 K 0257/22 V,9/29/2022,Georgien,Tiflis,FZ-E,LU,,,,,,,
2022/2766,VG 31 K 0230/22 V,9/29/2022,Serbien,Belgrad,EWT,§ 26 II BV,,,,,,,
2022/2765,VG 38 K 0245/22 V,9/29/2022,Gambia,Dakar,FZ-E,,,,,,,,
2022/2764,VG 31 K 0234/22 V,9/29/2022,Pakistan,Karachi,BES,,,,,,,,
2022/2763,VG 31 K 0236/22 V,9/29/2022,Türkei,OFFEN,BES,,,,,,,,
2022/2762,VG 31 K 0235/22 V,9/29/2022,Marokko,Rabat,EWT,,,,,,,,
2022/2761,VG 33 K 0331/22 V,9/29/2022,Syrien,Beirut,BES,,9/30/2022,,,,,,
2022/2760,VG 33 K 0334/22 V,9/29/2022,Türkei,Ankara,BES,,,,,,,,
2022/2759,VG 30 K 0533/22 V,9/29/2022,Libanon,Beirut,BES,,,,,,,,
2022/2755,VG 33 AR 0002/22 V,9/29/2022,Türkei,Ankara,BES,,,,,,,,
2022/2753,VG 33 K 0332/22 V,9/29/2022,Afghanistan,Teheran,FZ-K,,,,,,,,
2022/2752,VG 16 K 0563/22 V,9/29/2022,Libanon,Beirut,BES,,,,,,,,
2022/2751,VG 16 K 0562/22 V,9/29/2022,Pakistan,Karachi,FZ-E/K,LU,,,,,,,
2022/2749,VG 16 K 0567/22 V,9/29/2022,Vietnam,Hanoi,FZ-K,LU,,,,,,,
2022/2748,VG 33 K 0330/22 V,9/29/2022,Pakistan,London,BES,,,,,,,,
2022/2747,VG 32 K 0187/22 V,9/29/2022,Armenien,Eriwan,FZ-F,§ 36 I;#Ausw,,,,,,,
2022/2746,VG 30 AR 0011/22 V,9/29/2022,Syrien,Beirut,BES,,,,,,,,
2022/2745,VG 32 K 0194/22 V,9/29/2022,Serbien,Belgrad,FZ-E,Ausw,,,,,,,
2022/1817,VG 39 K 0251/22 V,9/29/2022,Staatenlos,Ramallah,STU,,,,,,,,
2022/2811,VG 30 K 0541/22 V,9/28/2022,Russland,Istanbul,?,,,,,,,,
2022/2781,VG 33 K 0333/22 V,9/28/2022,Südafrika,Pretoria,BES,,,,,,,,
2022/2750,VG 34 L 0287/22 V,9/28/2022,Tunesien,Tunis,FZ-F,TER,,,,,,,
2022/2776,VG 31 K 0231/22 V,9/27/2022,Eritrea,Khartum,FZ-K,,,,,,,,
2022/2743,VG 30 AR 0009/22 V,9/27/2022,Türkei,Ankara,BES,,,,,,,,
2022/2742,VG 25 K 0331/22 V,9/27/2022,Indien,New Delhi,FZ-K,LU,,,,,,,
2022/2741,VG 28 K 0208/22 V,9/27/2022,Sri Lanka,Colombo,BES,,,,,,,,
2022/2739,VG 29 K 0196/22 V,9/27/2022,Nigeria,Lagos,FZ-E,EU;#ID;#UT,,,,,,,
2022/2738,VG 29 K 0197/22 V,9/27/2022,Kasachstan,Almaty,BES,,,,,,,,
2022/2737,VG 29 K 0200/22 V,9/27/2022,Indien,Dubai,BES,,10/4/2022,,,,,,
2022/2736,VG 29 K 0198/22 V,9/27/2022,Syrien,Beirut,FZ-K,LU,,,,,,,
2022/2735,VG 25 K 0335/22 V,9/27/2022,Afghanistan,OFFEN,SON,§ 22,,,,,,,
2022/2734,VG 29 K 0201/22 V,9/27/2022,Bangladesch,Dubai,BES,,,,,,,,
2022/2733,VG 25 K 0334/22 V,9/27/2022,Syrien,Beirut,BES,,,,,,,,
2022/2732,VG 20 K 0322/22 V,9/27/2022,Kosovo,Pristina,EWT,§ 26 II BV,,,,,,,
2022/2729,VG 29 K 0203/22 V,9/27/2022,Côte d’Ivoire,Abidjan,BES,,,,,,,,
2022/2728,VG 25 K 0333/22 V,9/27/2022,Iran,Teheran,BES,,,,,,,,
2022/2727,VG 25 K 0336/22 V,9/27/2022,OFFEN,Riad,BES,,,,,,,,
2022/2726,VG 25 K 0332/22 V,9/27/2022,Thailand,Bangkok,BES,,,,,,,,
2022/2725,VG 28 K 0214/22 V,9/27/2022,Staatenlos,Damaskus,FZ-E,Eheschl,,,,,,,
2022/2706,VG 26 K 0215/22 V,9/27/2022,Marokko,Rabat,?,§ 17,,,,,,,
2022/2371,VG 31 K 0233/22 V,9/27/2022,Russland,Moskau,FZ-E,,,,,,,,
2022/2370,VG 31 L 0232/22 V,9/27/2022,Russland,Moskau,FZ-E,,,,,,,,
2022/2740,VG 29 K 0194/22 V,9/26/2022,Eritrea,Khartum,FZ-E,,,,,,,,
2022/2724,VG 25 K 0330/22 V,9/26/2022,Thailand,Bangkok,WDK,,,,,,,,
2022/2723,VG 25 K 0329/22 V,9/26/2022,Türkei,Istanbul,FZ-E/K,Dt;#SorgeR;#UT,,,,,,,
2022/2722,VG 25 K 0328/22 V,9/26/2022,Pakistan,Islamabad,BES,,,,,,,,
2022/2721,VG 13 K 0195/22 V,9/26/2022,Thailand,Bangkok,FZ-E,SE,,,,,,,
2022/2720,VG 28 K 0213/22 V,9/26/2022,Pakistan,Islamabad,FZ-E,TER;#UT,,,,,,,
2022/2719,VG 25 K 0327/22 V,9/26/2022,Guinea,Conakry,BES,,,,,,,,
2022/2718,VG 28 K 0210/22 V,9/26/2022,Syrien,Beirut,WDE,SUB,,,,,,,
2022/2717,VG 08 L 0389/22 V,9/26/2022,Afghanistan,Kabul,FZ-F,SUB,10/7/2022,OVG 06 S 058/22,10/11/2022,OVG 06 M 073/22,10/11/2022,,
2022/2715,VG 29 L 0195/22 V,9/26/2022,Türkei,Istanbul,EWT,EWTunse,,,,,,,
2022/2714,VG 24 K 0243/22 V,9/26/2022,Türkei,Ankara,FZ-E,Dt,,,,,,,
2022/2713,VG 24 K 0245/22 V,9/26/2022,Türkei,Ankara,EWT,EWTse,,,,,,,
2022/2712,VG 24 AR 0001/22 V,9/26/2022,Türkei,Istanbul,BES,,,,,,,,
2022/2711,VG 28 K 0215/22 V,9/26/2022,Kongo,OFFEN,BES,,,,,,,,
2022/2803,VG 27 K 0304/22 V,9/23/2022,Eritrea,Addis Abeba,FZ-E,SUB,,,,,,,
2022/2801,VG 27 K 0302/22 V,9/23/2022,Ägypten,Kairo,BES,Ausw,,,,,,,
2022/2708,VG 28 L 0211/22 V,9/23/2022,Türkei,Ankara,BES,,10/7/2022,,,,,,
2022/2707,VG 15 K 0252/22 V,9/23/2022,Irak,Bagdad,BES,,9/23/2022,,,,,,
2022/2705,VG 26 K 0213/22 V,9/23/2022,Syrien,Beirut,BES,,,,,,,,
2022/2704,VG 12 K 0213/22 V ,9/23/2022,Sierra Leone,Accra,FZ-E,Eheschl,,,,,,,
2022/2703,VG 26 K 0214/22 V,9/23/2022,Afghanistan,Islamabad,FZ-E,UT;#TER,,,,,,,
2022/2702,VG 26 K 0211/22 V,9/23/2022,Pakistan,Karachi,FZ-E,Dt,,,,,,,
2022/2701,VG 26 K 0210/22 V,9/23/2022,Afghanistan,Islamabad,FZ-E,UT;#TER,,,,,,,
2022/2814,VG 28 K 0206/22 V,9/22/2022,Albanien,Tirana,FZ-E,LU;#SE,,,,,,,
2022/2700,VG 26 K 0209/22 V,9/22/2022,Kosovo,Pristina,FZ-F,§ 36 II,,,,,,,
2022/2699,VG 26 K 0208/22 V,9/22/2022,Kamerun,Jaunde,?,,,,,,,,
2022/2698,VG 26 K 0207/22 V,9/22/2022,Syrien,Beirut,SPR,,,,,,,,
2022/2784,VG 24 K 0246/22 V,9/21/2022,Kamerun,Jaunde,STU,,,,,,,,
2022/2697,VG 38 K 0248/22 V,9/21/2022,Syrien,Beirut,WDE,,,,,,,,
2022/2696,VG 38 K 0246/22 V,9/21/2022,Afghanistan,Islamabad,FZ-E,UT;#TER,,,,,,,
2022/2695,VG 22 K 0263/22 V,9/21/2022,Syrien,Beirut,STU,,9/29/2022,,,,,,
2022/2694,VG 22 K 0262/22 V,9/21/2022,Syrien,Beirut,FZ-K,LU,,,,,,,
2022/2692,VG 22 K 0260/22 V,9/21/2022,Gambia,Dakar,FZ-E,UT,,,,,,,
2022/2691,VG 21 K 0387/22 V,9/21/2022,Kenia,Nairobi,FZ-K,Dt,,,,,,,
2022/2690,VG 21 K 0386/22 V,9/21/2022,Staatenlos,Beirut,FZ-F,§ 36 I,,,,,,,
2022/2689,VG 21 K 0385/22 V,9/21/2022,Türkei,Ankara,BES,,,,,,,,
2022/2688,VG 21 K 0384/22 V,9/21/2022,Syrien,Erbil,SON,,,,,,,,
2022/2770,VG 24 K 0240/22 V,9/20/2022,Venezuela,Caracas,EWT,,,,,,,,
2022/2710,VG 24 K 0244/22 V,9/20/2022,Eritrea,Addis Abeba,FZ-E/K,Dt;#URK,,,,,,,
2022/2709,VG 24 K 0241/22 V,9/20/2022,Nordmazedonien,Skopje,FZ-E,,,,,,,,
2022/2686,VG 19 K 0306/22 V,9/20/2022,Armenien,Eriwan,BES,,10/6/2022,,,,,,
2022/2685,VG 19 K 0305/22 V,9/20/2022,Syrien,Beirut,BES,,,,,,,,
2022/2684,VG 19 K 0304/22 V,9/20/2022,Gambia,Dakar,BES,,,,,,,,
2022/2682,VG 19 K 0300/22 V,9/20/2022,Indien,New Delhi,FZ-E,LU,,,,,,,
2022/2681,VG 08 K 0373/22 V,9/20/2022,Syrien,Erbil,FZ-K,SUB,,,,,,,
2022/2680,VG 21 K 0382/22 V,9/20/2022,Syrien,Beirut,WDE,,,,,,,,
2022/2663,VG 11 K 0391/22 V,9/20/2022,Iran,Teheran,BES,UT,,,,,,,
2022/2678,VG 18 K 0355/22 V,9/19/2022,Syrien,Beirut,BES,,10/4/2022,,,,,,
2022/2677,VG 18 K 0347/22 V,9/19/2022,Afghanistan,Istanbul,BES,,,,,,,,
2022/2677,VG 18 K 0352/22 V,9/19/2022,Pakistan,Islamabad,BES,,,,,,,,
2022/2676,VG 21 K 0379/22 V,9/19/2022,Vietnam,Hanoi,SPR,,,,,,,,
2022/2675,VG 19 K 0299/22 V,9/19/2022,Türkei,Ankara,FZ-E,Dt,,,,,,,
2022/2674,VG 18 K 0349/22 V,9/19/2022,Afghanistan,London,BES,,,,,,,,
2022/2673,VG 18 K 0346/22 V,9/19/2022,Indien,New Delhi,BES,,10/5/2022,,,,,,
2022/2671,VG 21 K 0378/22 V,9/19/2022,Türkei,Ankara,FZ-E,UT,,,,,,,
2022/2669,VG 17 K 0226/22 V,9/19/2022,Kosovo,Pristina,FZ-E,LU,,,,,,,
2022/2667,VG 17 K 0223/22 V,9/19/2022,Irak,Erbil,FZ-E,SUB,,,,,,,
2022/2666,VG 17 K 0224/22 V,9/19/2022,Türkei,Ankara,FZ-E,Dt,,,,,,,
2022/2639,VG 19 K 0301/22 V,9/19/2022,Iran,Teheran,BES,,,,,,,,
2022/2847,VG 20 K 0327/22 V,9/16/2022,Nordmazedonien,Skopje,EWT,,,,,,,,
2022/2845,VG 20 K 0326/22 V,9/16/2022,Nordmazedonien,Skopje,FZ-E/K,Dt,,,,,,,
2022/2687,VG 21 K 0383/22 V,9/16/2022,Nordmazedonien,Skopje,EWT,,,,,,,,
2022/2665,VG 08 K 0388/22 V,9/16/2022,Irak,Bagdad,FZ-K,SUB,,,,,,,
2022/2664,VG 18 K 0353/22 V,9/16/2022,Nigeria,Lagos,FZ-K,UT,,,,,,,
2022/2662,VG 11 K 0392/22 V,9/16/2022,Türkei,Ankara,FZ-K,SorgeR,,,,,,,
2022/2661,VG 12 K 0199/22 V,9/16/2022,Nigeria,Lagos,BES,,,,,,,,
2022/2658,VG 17 K 0222/22 V,9/16/2022,Kosovo,Pristina,FZ-E,Dt,,,,,,,
2022/2654,VG 08 K 0377/22 V,9/16/2022,Syrien,Istanbul,FZ-E,SUB,,,,,,,
2022/2628,VG 13 K 0258/22 V,9/16/2022,Serbien,Belgrad,EWT,EWTse,,,,,,,
2022/2660,VG 08 K 0369/22 V,9/15/2022,Äthiopien,Addis Abeba,BES,UT,,,,,,,
2022/2659,VG 18 K 0351/22 V,9/15/2022,Nigeria,Lagos,BES,,,,,,,,
